key,timestamp,temperature,humidity
H5074_office,2025-01-05 03:21:32,25.09,39.12
H5074_office,2025-01-05 03:21:54,25.13,39.07
H5074_office,2025-01-05 03:22:12,25.12,39.14
H5074_office,2025-01-05 03:22:28,25.11,38.99
H5074_office,2025-01-05 03:22:45,25.11,39.11
H5074_office,2025-01-05 03:23:01,25.12,39.03
H5074_office,2025-01-05 03:23:19,25.15,39.16
H5074_office,2025-01-05 03:23:35,25.12,39.05
H5074_office,2025-01-05 03:23:51,25.15,39.05
H5074_office,2025-01-05 03:24:07,25.14,39.01
H5074_office,2025-01-05 03:24:25,25.16,39.08
H5074_office,2025-01-05 03:24:43,25.15,39.11
H5074_office,2025-01-05 03:24:59,25.15,39.03
H5074_office,2025-01-05 03:25:15,25.14,39.05
H5074_office,2025-01-05 03:25:31,25.12,39.03
H5074_office,2025-01-05 03:25:47,25.12,38.89
H5074_office,2025-01-05 03:26:03,25.1,38.89
H5074_office,2025-01-05 03:26:20,25.11,39.17
H5074_office,2025-01-05 03:26:36,25.1,39.0
H5074_office,2025-01-05 03:26:52,25.06,38.93
H5074_office,2025-01-05 03:27:10,25.08,39.09
H5074_office,2025-01-05 03:27:26,25.09,39.01
H5074_office,2025-01-05 03:27:42,25.11,39.07
H5074_office,2025-01-05 03:27:58,25.07,38.92
H5074_office,2025-01-05 03:28:14,25.11,39.16
H5074_office,2025-01-05 03:28:30,25.12,39.08
H5074_office,2025-01-05 03:28:50,25.13,39.03
H5074_office,2025-01-05 03:29:06,25.09,38.95
H5074_office,2025-01-05 03:29:23,25.09,39.04
H5074_office,2025-01-05 03:29:41,25.12,38.96
H5074_office,2025-01-05 03:29:57,25.09,38.94
H5074_office,2025-01-05 03:30:13,25.08,39.12
H5074_office,2025-01-05 03:30:29,25.09,39.12
H5074_office,2025-01-05 03:30:45,25.09,39.12
H5074_office,2025-01-05 03:31:01,25.11,39.08
H5074_office,2025-01-05 03:31:19,25.11,39.12
H5074_office,2025-01-05 03:31:35,25.07,38.92
H5074_office,2025-01-05 03:31:51,25.11,39.03
H5074_office,2025-01-05 03:32:07,25.14,39.14
H5074_office,2025-01-05 03:32:23,25.16,39.05
H5074_office,2025-01-05 03:32:39,25.11,39.07
H5074_office,2025-01-05 03:32:55,25.06,38.92
H5074_office,2025-01-05 03:33:12,25.07,38.97
H5074_office,2025-01-05 03:33:28,25.09,39.08
H5074_office,2025-01-05 03:33:50,25.1,39.07
H5074_office,2025-01-05 03:34:08,25.02,38.87
H5074_office,2025-01-05 03:34:24,25.02,38.99
H5074_office,2025-01-05 03:34:40,25.06,39.07
H5074_office,2025-01-05 03:34:56,25.02,38.96
H5074_office,2025-01-05 03:35:12,25.05,39.14
H5074_office,2025-01-05 03:35:30,25.11,39.09
H5074_office,2025-01-05 03:35:46,25.05,38.94
H5074_office,2025-01-05 03:36:02,25.06,38.93
H5074_office,2025-01-05 03:36:18,25.07,39.06
H5074_office,2025-01-05 03:36:34,25.1,39.05
H5074_office,2025-01-05 03:36:53,25.04,38.94
H5074_office,2025-01-05 03:37:09,25.08,39.05
H5074_office,2025-01-05 03:37:25,25.1,39.17
H5074_office,2025-01-05 03:37:43,25.07,39.13
H5074_office,2025-01-05 03:37:59,25.06,39.1
H5074_office,2025-01-05 03:38:17,25.01,39.02
H5074_office,2025-01-05 03:38:33,25.11,39.14
H5074_office,2025-01-05 03:38:49,25.08,39.13
H5074_office,2025-01-05 03:39:05,25.07,38.96
H5074_office,2025-01-05 03:39:21,25.11,39.03
H5074_office,2025-01-05 03:39:37,25.09,38.95
H5074_office,2025-01-05 03:39:53,25.12,39.01
H5074_office,2025-01-05 03:40:10,25.11,39.08
H5074_office,2025-01-05 03:40:26,25.1,39.11
H5074_office,2025-01-05 03:40:46,25.05,38.87
H5074_office,2025-01-05 03:41:02,25.04,38.89
H5074_office,2025-01-05 03:41:18,25.07,39.06
H5074_office,2025-01-05 03:41:34,25.1,39.01
H5074_office,2025-01-05 03:41:50,25.09,38.96
H5074_office,2025-01-05 03:42:06,25.08,38.89
H5074_office,2025-01-05 03:42:22,25.06,38.97
H5074_office,2025-01-05 03:42:38,25.11,38.98
H5074_office,2025-01-05 03:42:54,25.01,38.83
H5074_office,2025-01-05 03:43:10,25.05,38.96
H5074_office,2025-01-05 03:43:28,25.0,38.9
H5074_office,2025-01-05 03:43:47,25.03,38.96
H5074_office,2025-01-05 03:44:03,25.05,39.09
H5074_office,2025-01-05 03:44:23,25.08,39.04
H5074_office,2025-01-05 03:44:39,25.02,38.84
H5074_office,2025-01-05 03:44:57,25.1,38.95
